#tstp   Ax    Ay
923  4.53309  4.53309
924  4.53359  4.53359
925  4.53361  4.53361
926  4.53315  4.53315
927  4.5322  4.5322
928  4.53076  4.53076
929  4.52884  4.52884
930  4.52642  4.52642
931  4.52352  4.52352
932  4.52012  4.52012
933  4.51623  4.51623
934  4.51184  4.51184
935  4.50697  4.50697
936  4.50159  4.50159
937  4.49572  4.49572
938  4.48936  4.48936
939  4.4825  4.4825
940  4.47514  4.47514
941  4.46728  4.46728
942  4.45892  4.45892
943  4.45007  4.45007
944  4.44072  4.44072
945  4.43086  4.43086
946  4.42051  4.42051
947  4.40967  4.40967
948  4.39832  4.39832
949  4.38647  4.38647
950  4.37413  4.37413
951  4.36129  4.36129
952  4.34795  4.34795
953  4.33411  4.33411
954  4.31978  4.31978
955  4.30495  4.30495
956  4.28963  4.28963
957  4.27382  4.27382
958  4.25751  4.25751
959  4.2407  4.2407
960  4.22341  4.22341
961  4.20563  4.20563
962  4.18736  4.18736
963  4.1686  4.1686
964  4.14935  4.14935
965  4.12962  4.12962
966  4.10941  4.10941
967  4.08871  4.08871
968  4.06753  4.06753
969  4.04588  4.04588
970  4.02374  4.02374
971  4.00114  4.00114
972  3.97806  3.97806
973  3.9545  3.9545
974  3.93048  3.93048
975  3.906  3.906
976  3.88104  3.88104
977  3.85563  3.85563
978  3.82975  3.82975
979  3.80342  3.80342
980  3.77663  3.77663
981  3.74939  3.74939
982  3.7217  3.7217
983  3.69357  3.69357
984  3.66499  3.66499
985  3.63596  3.63596
986  3.6065  3.6065
987  3.5766  3.5766
988  3.54627  3.54627
989  3.51551  3.51551
990  3.48433  3.48433
991  3.45272  3.45272
992  3.42069  3.42069
993  3.38825  3.38825
994  3.35539  3.35539
995  3.32212  3.32212
996  3.28845  3.28845
997  3.25438  3.25438
998  3.21991  3.21991
999  3.18504  3.18504
1000  3.14978  3.14978
1001  3.11414  3.11414
1002  3.07811  3.07811
1003  3.04171  3.04171
1004  3.00493  3.00493
1005  2.96778  2.96778
1006  2.93027  2.93027
1007  2.89239  2.89239
1008  2.85415  2.85415
1009  2.81557  2.81557
1010  2.77663  2.77663
1011  2.73735  2.73735
1012  2.69773  2.69773
1013  2.65778  2.65778
1014  2.6175  2.6175
1015  2.57689  2.57689
1016  2.53596  2.53596
1017  2.49471  2.49471
1018  2.45316  2.45316
1019  2.41129  2.41129
1020  2.36913  2.36913
1021  2.32667  2.32667
1022  2.28392  2.28392
1023  2.24089  2.24089
1024  2.19757  2.19757
1025  2.15398  2.15398
1026  2.11012  2.11012
1027  2.066  2.066
1028  2.02162  2.02162
1029  1.97698  1.97698
1030  1.93209  1.93209
1031  1.88697  1.88697
1032  1.8416  1.8416
1033  1.796  1.796
1034  1.75018  1.75018
1035  1.70414  1.70414
1036  1.65788  1.65788
1037  1.61141  1.61141
1038  1.56474  1.56474
1039  1.51788  1.51788
